model,roc_auc,pr_auc,brier,scenario
Regresión Logística,0.8710277358232649,0.5073592275788602,0.0512160844923316,BASE (CV OOF)
XGBoost,0.9743648500683604,0.7880636648161371,0.0298950989160542,BASE (CV OOF)
TabNet,0.7719755246977665,0.2176042102678136,0.0825908411499105,BASE (CV OOF)
Regresión Logística,0.8359875393726939,0.2813799608807941,0.06930642646517537,STRESS (post-COVID)
XGBoost,0.9631723168755498,0.803022500076084,0.03060582669605942,STRESS (post-COVID)
TabNet,0.9063317373216526,0.4885157551511456,0.051751659404928894,STRESS (post-COVID)
