model,roc_auc_BASE (CV OOF),roc_auc_STRESS (post-COVID),pr_auc_BASE (CV OOF),pr_auc_STRESS (post-COVID),brier_BASE (CV OOF),brier_STRESS (post-COVID),delta_roc_auc,delta_pr_auc,delta_brier
XGBoost,0.9743648500683604,0.9631723168755498,0.7880636648161371,0.803022500076084,0.0298950989160542,0.03060582669605942,-0.01119253319281055,0.014958835259946901,0.0007107277800052214
TabNet,0.7719755246977665,0.9063317373216526,0.2176042102678136,0.4885157551511456,0.0825908411499105,0.051751659404928894,0.13435621262388608,0.270911544883332,-0.030839181744981604
Regresión Logística,0.8710277358232649,0.8359875393726939,0.5073592275788602,0.2813799608807941,0.0512160844923316,0.06930642646517537,-0.03504019645057099,-0.22597926669806612,0.018090341972843774
