model,ks,ks_threshold,roc_auc,pr_auc,brier
XGBoost,0.8473371465203815,0.0874626263976097,0.9743648500683603,0.7880636648161371,0.029895098916054286
Regresión Logística,0.6170109365807209,0.0944450255034587,0.8710277358232649,0.5073592275788602,0.05121608449233166
TabNet,0.41616889271524793,0.0662874281406402,0.7719755246977665,0.21760421026781368,0.08259084114991058
