model,n,p<=0.01 (%),p>=0.99 (%),"p in (0.01,0.99) (%)"
Logistic,205487,31.764539849236208,0.008759678227819765,68.22670047253597
XGBoost,205487,65.54623893482314,0.002433243952172157,34.451327821224695
TabNet,205487,29.03638673006078,2.1869996642123346,68.7766136057269
