fold,model,roc_auc,pr_auc,brier
1,TabNet,0.9385123574897378,0.5636485010936698,0.04604492236465603
2,TabNet,0.7136019045494164,0.1407108680539225,0.14183336064575414
3,TabNet,0.822683174269034,0.24573971209889978,0.07789977079883169
4,TabNet,0.5860844940473882,0.11830907353832916,0.07312495783293052
5,TabNet,0.7528696036366059,0.2312208226610746,0.07405064183834119
